Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;05 Canarias;Hombres;2012;1.056.240
Total;05 Canarias;Hombres;2011;1.061.591
Total;05 Canarias;Hombres;2010;1.058.706
Total;05 Canarias;Hombres;2009;1.052.636
Total;05 Canarias;Hombres;2008;1.040.137
Total;05 Canarias;Hombres;2007;1.015.493
Total;05 Canarias;Hombres;2006;1.001.394
Total;05 Canarias;Hombres;2005;988.230
Total;05 Canarias;Hombres;2004;960.658
Total;05 Canarias;Hombres;2003;950.159
Total;05 Canarias;Hombres;2002;923.353
Total;05 Canarias;Hombres;2001;890.549
Total;05 Canarias;Hombres;2000;854.899
Total;05 Canarias;Hombres;1999;831.707
Total;05 Canarias;Hombres;1998;808.092
Total;05 Canarias;Hombres;1997;""
Total;05 Canarias;Hombres;1996;797.230
Total;05 Canarias;Mujeres;2021;1.098.764
Total;05 Canarias;Mujeres;2020;1.099.767
Total;05 Canarias;Mujeres;2019;1.087.418
Total;05 Canarias;Mujeres;2018;1.073.653
Total;05 Canarias;Mujeres;2017;1.063.008
Total;05 Canarias;Mujeres;2016;1.059.086
Total;05 Canarias;Mujeres;2015;1.057.103
Total;05 Canarias;Mujeres;2014;1.058.442
Total;05 Canarias;Mujeres;2013;1.063.377
Total;05 Canarias;Mujeres;2012;1.062.104
Total;05 Canarias;Mujeres;2011;1.065.178
Total;05 Canarias;Mujeres;2010;1.059.813
Total;05 Canarias;Mujeres;2009;1.051.356
Total;05 Canarias;Mujeres;2008;1.035.831
Total;05 Canarias;Mujeres;2007;1.010.458
Total;05 Canarias;Mujeres;2006;994.439
Total;05 Canarias;Mujeres;2005;980.050
Total;05 Canarias;Mujeres;2004;954.882
Total;05 Canarias;Mujeres;2003;944.709
Total;05 Canarias;Mujeres;2002;920.402
Total;05 Canarias;Mujeres;2001;890.817
Total;05 Canarias;Mujeres;2000;861.377
Total;05 Canarias;Mujeres;1999;840.982
Total;05 Canarias;Mujeres;1998;821.923
Total;05 Canarias;Mujeres;1997;""
Total;05 Canarias;Mujeres;1996;809.304
Total;06 Cantabria;Total;2021;584.507
Total;06 Cantabria;Total;2020;582.905
Total;06 Cantabria;Total;2019;581.078
Total;06 Cantabria;Total;2018;580.229
Total;06 Cantabria;Total;2017;580.295
Total;06 Cantabria;Total;2016;582.206
Total;06 Cantabria;Total;2015;585.179
Total;06 Cantabria;Total;2014;588.656
Total;06 Cantabria;Total;2013;591.888
Total;06 Cantabria;Total;2012;593.861
Total;06 Cantabria;Total;2011;593.121
Total;06 Cantabria;Total;2010;592.250
Total;06 Cantabria;Total;2009;589.235
Total;06 Cantabria;Total;2008;582.138
Total;06 Cantabria;Total;2007;572.824
Total;06 Cantabria;Total;2006;568.091
Total;06 Cantabria;Total;2005;562.309
Total;06 Cantabria;Total;2004;554.784
Total;06 Cantabria;Total;2003;549.690
Total;06 Cantabria;Total;2002;542.275
Total;06 Cantabria;Total;2001;537.606
Total;06 Cantabria;Total;2000;531.159
Total;06 Cantabria;Total;1999;528.478
Total;06 Cantabria;Total;1998;527.137
Total;06 Cantabria;Total;1997;""
Total;06 Cantabria;Total;1996;527.437
Total;06 Cantabria;Hombres;2021;283.378
Total;06 Cantabria;Hombres;2020;282.559
Total;06 Cantabria;Hombres;2019;281.801
Total;06 Cantabria;Hombres;2018;281.564
Total;06 Cantabria;Hombres;2017;281.808
Total;06 Cantabria;Hombres;2016;282.988
Total;06 Cantabria;Hombres;2015;284.788
Total;06 Cantabria;Hombres;2014;286.782
Total;06 Cantabria;Hombres;2013;288.643
Total;06 Cantabria;Hombres;2012;289.999
Total;06 Cantabria;Hombres;2011;289.872
Total;06 Cantabria;Hombres;2010;289.931
Total;06 Cantabria;Hombres;2009;288.735
Total;06 Cantabria;Hombres;2008;285.469
Total;06 Cantabria;Hombres;2007;280.283
Total;06 Cantabria;Hombres;2006;277.869
Total;06 Cantabria;Hombres;2005;274.797
Total;06 Cantabria;Hombres;2004;270.907
Total;06 Cantabria;Hombres;2003;268.309
Total;06 Cantabria;Hombres;2002;264.492
Total;06 Cantabria;Hombres;2001;261.967
Total;06 Cantabria;Hombres;2000;258.682
Total;06 Cantabria;Hombres;1999;257.495
Total;06 Cantabria;Hombres;1998;256.766
Total;06 Cantabria;Hombres;1997;""
Total;06 Cantabria;Hombres;1996;256.946
Total;06 Cantabria;Mujeres;2021;301.129
Total;06 Cantabria;Mujeres;2020;300.346
Total;06 Cantabria;Mujeres;2019;299.277
Total;06 Cantabria;Mujeres;2018;298.665
Total;06 Cantabria;Mujeres;2017;298.487
Total;06 Cantabria;Mujeres;2016;299.218
Total;06 Cantabria;Mujeres;2015;300.391
Total;06 Cantabria;Mujeres;2014;301.874
Total;06 Cantabria;Mujeres;2013;303.245
Total;06 Cantabria;Mujeres;2012;303.862
Total;06 Cantabria;Mujeres;2011;303.249
Total;06 Cantabria;Mujeres;2010;302.319
Total;06 Cantabria;Mujeres;2009;300.500
Total;06 Cantabria;Mujeres;2008;296.669
Total;06 Cantabria;Mujeres;2007;292.541
Total;06 Cantabria;Mujeres;2006;290.222
Total;06 Cantabria;Mujeres;2005;287.512
Total;06 Cantabria;Mujeres;2004;283.877
Total;06 Cantabria;Mujeres;2003;281.381
Total;06 Cantabria;Mujeres;2002;277.783
Total;06 Cantabria;Mujeres;2001;275.639
Total;06 Cantabria;Mujeres;2000;272.477
Total;06 Cantabria;Mujeres;1999;270.983
Total;06 Cantabria;Mujeres;1998;270.371
Total;06 Cantabria;Mujeres;1997;""
Total;06 Cantabria;Mujeres;1996;270.491
Total;07 Castilla y León;Total;2021;2.383.139
Total;07 Castilla y León;Total;2020;2.394.918
Total;07 Castilla y León;Total;2019;2.399.548
Total;07 Castilla y León;Total;2018;2.409.164
Total;07 Castilla y León;Total;2017;2.425.801
Total;07 Castilla y León;Total;2016;2.447.519
Total;07 Castilla y León;Total;2015;2.472.052
